feature,gain,gain_normalized
EEG_delta,0.0,0.0
EEG_theta,0.0,0.0
EEG_alpha,0.0,0.0
EEG_beta,0.0,0.0
EEG_gamma,0.0,0.0
ECG_HR_mean,0.0,0.0
ECG_RMSSD,0.0,0.0
ECG_SDNN,0.0,0.0
EMG_mean,0.0,0.0
EMG_std,0.0,0.0
ACC_mean,0.0,0.0
ACC_std,0.0,0.0
ACC_energy,0.0,0.0
EEG_total_power,0.0,0.0
EEG_delta_relative,0.0,0.0
EEG_theta_relative,0.0,0.0
EEG_alpha_relative,0.0,0.0
EEG_beta_relative,0.0,0.0
EEG_gamma_relative,0.0,0.0
EEG_theta_alpha_ratio,0.0,0.0
EEG_beta_alpha_ratio,0.0,0.0
EEG_theta_beta_ratio,0.0,0.0
EEG_spectral_entropy,0.0,0.0
